Ped_id,Time,Ped_x,Ped_y,Ped_vel,Vel_level,Conflict_user,Conflict_id,Angle,Angle_level,Distance,PET
9732,3090,183.722036899317,35.471193610464,1.89242203010198,1,2,6861,0.434156911525011+0i,0,28.2665616790247,14.9367113832961
9732,3093,183.722036899317,35.471193610464,1.87462057540151,1,2,6861,0.365774771909585+0i,0,27.5161663594322,14.6782590143814
9732,3096,183.722036899317,35.471193610464,1.85363248543482,1,2,6861,0.253356276546895+0i,0,26.7678284353893,14.4407419732451
9732,3099,183.722036899317,35.471193610464,1.83066559442256,1,2,6861,0.114507722704215+0i,0,26.02201667253,14.2145112421464
9732,3102,183.722036899317,35.471193610464,1.80677380279248,1,2,6861,0.0111957333982584+0i,0,25.2791347183002,13.991311297092
9732,3105,183.722036899317,35.471193610464,1.78185551859465,1,2,6861,0.0603129183590554+0i,0,24.5395015346802,13.7718806483448
9732,3108,183.722036899317,35.471193610464,1.75718282726151,1,2,6861,0.0154804059769249+0i,0,23.8034880487196,13.5463923727369
9732,3111,183.722036899317,35.471193610464,1.73431970611659,1,2,6861,0.118888894168748+0i,0,23.0714203841589,13.3028646925885
9732,3114,183.722036899317,35.471193610464,1.71480359364819,1,2,6861,0.312599151737795+0i,0,22.3435739485379,13.0298152110836
9732,3117,183.722036899317,35.471193610464,1.70044615222294,1,2,6861,0.48510646660183+0i,0,21.6202040479768,12.7144302803787
9732,3120,183.722036899317,35.471193610464,1.69309567694053,1,2,6861,0.578699841608164+0i,0,20.9014903938427,12.345132456786
9732,3123,183.722036899317,35.471193610464,1.69153824421424,1,2,6861,0.567226630933697+0i,0,20.1874977730606,11.9344022176916
9732,3126,183.722036899317,35.471193610464,1.69513675715031,1,2,6861,0.455425850609702+0i,0,19.478385288982,11.4907456326574
9732,3129,183.722036899317,35.471193610464,1.70446346609942,1,2,6861,0.27338179274124+0i,0,18.7742632050029,11.0147642225309
9732,3132,183.722036899317,35.471193610464,1.71831434104501,1,2,6861,0.0673584900711685+0i,0,18.0746677694446,10.5188365933397
9732,3135,183.722036899317,35.471193610464,1.73452630446155,1,2,6861,0.13288182014091+0i,0,17.3778689342367,10.0187981522894
9732,3138,183.722036899317,35.471193610464,1.75252255437822,1,2,6861,0.316183627926719+0i,0,16.6827801805208,9.51929556560815
9732,3141,183.722036899317,35.471193610464,1.77047877507867,1,2,6861,0.464948358451149+0i,0,15.9965127051976,9.03513384648554
9732,3144,183.722036899317,35.471193610464,1.78656879859443,1,2,6861,0.563892126812071+0i,0,15.3219177374527,8.57617000224514
9732,3147,183.722036899317,35.471193610464,1.79937240006658,1,2,6861,0.607428231264581+0i,0,14.6628952133972,8.14889414378851
9732,3150,183.722036899317,35.471193610464,1.80987673315517,1,2,6861,0.602888395704614+0i,0,14.0243086430269,7.74876453523892
9732,3153,183.722036899317,35.471193610464,1.8179453795952,1,2,6861,0.565759208622676+0i,0,13.4115756255061,7.37732595051479
9732,3156,183.722036899317,35.471193610464,1.82361101049325,1,2,6861,0.53910928971546+0i,0,12.8305236945835,7.0357788041174
9732,3159,183.722036899317,35.471193610464,1.82582354946275,1,2,6861,0.600705860143274+0i,0,12.2870276604182,6.72958110548724
9732,3162,183.722036899317,35.471193610464,1.82364575822131,1,2,6861,0.775497120522984+0i,0,11.7868175505814,6.46332627783898
9732,3165,183.722036899317,35.471193610464,1.81558140525186,1,2,6861,1.0307583594373+0i,0,11.3727204606831,6.26395513183031
9732,3168,183.722036899317,35.471193610464,1.80201068688387,1,2,6861,1.29495526253846+0i,0,11.010780187754,6.11027463260743
9732,3171,183.722036899317,35.471193610464,1.78477502413218,1,2,6861,1.52773780941143+0i,0,10.6927263265747,5.99107796892993
9732,3174,183.722036899317,35.471193610464,1.76548542939034,1,2,6861,1.7043115882297+0i,0,10.4188028943811,5.90138141099185
9732,3177,183.722036899317,35.471193610464,1.74671329905157,1,2,6861,1.80575447660329+0i,0,10.1918477432053,5.83487155490213
9732,3180,183.722036899317,35.471193610464,1.73104126413946,1,2,6861,1.80622726843672+0i,0,10.0148342261712,5.78543933853
9732,3183,183.722036899317,35.471193610464,1.71979653705706,1,2,6861,1.68992996100521+0i,0,9.89023909669231,5.75081928797033
9732,3186,183.722036899317,35.471193610464,1.71291506621263,1,2,6861,1.46111341631446+0i,0,9.8198762265132,5.73284479786007
9732,3189,183.722036899317,35.471193610464,1.71039061295963,1,2,6861,1.15916582294401+0i,0,9.80475973591584,5.73246816348569
9732,3192,183.722036899317,35.471193610464,1.71291753137911,1,2,6861,0.873203897413599+0i,0,9.84486324431243,5.74742395005211
9732,3195,183.722036899317,35.471193610464,1.72066862568355,1,2,6861,0.660532381025659+0i,0,9.93906013167472,5.77627788600278
9732,3198,183.722036899317,35.471193610464,1.73407175907214,1,2,6861,0.539785710800254+0i,0,10.0852764588634,5.81595104475941
9732,3201,183.722036899317,35.471193610464,1.75141517141456,1,2,6861,0.484898751213699+0i,0,10.2807124659899,5.86994599212394
9732,3204,183.722036899317,35.471193610464,1.77150240489409,1,2,6861,0.429333916331851+0i,0,10.5222430209874,5.9397283299858
9732,3120,198.820821032312,34.5482997596004,1.69309567694053,1,2,6891,0.562938523646701+0i,0,27.2951480037721,16.1214445087328
9732,3123,198.820821032312,34.5482997596004,1.69153824421424,1,2,6891,0.551465312971856+0i,0,26.5222936952463,15.6793934668421
9732,3126,198.820821032312,34.5482997596004,1.69513675715031,1,2,6891,0.439664532647872+0i,0,25.7489162468777,15.1898754706753
